                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.87354,                 2.0809,                0.33139,                0.75328,                 1.1103,                0.89909,                  0.637,                0.70168,                 0.4132,                0.54633,                0.35714,                0.30837,                0.17842,                 1.5251,                 5.3026,                0.42053,                 1.3424,                 1.4969,             0.00033268,             0.00033268,             0.00033268
                     23,                0.78348,                  2.483,                 0.3143,                0.68914,                0.93958,                0.87319,                0.57143,                0.71268,                0.39453,                0.71179,                 0.3534,                0.32441,                0.15924,                 1.5159,                 5.5479,                0.43662,                  1.297,                  1.498,             0.00034417,             0.00034417,             0.00034417
                     24,                 0.6072,                 2.0923,                0.24578,                0.66503,                0.99141,                0.87319,                0.57143,                0.71268,                0.39453,                0.71179,                 0.3534,                0.32441,                0.15924,                 1.5159,                 5.5479,                0.43662,                  1.297,                  1.498,             0.00035526,             0.00035526,             0.00035526
                     25,                 1.1231,                 3.0074,                0.21966,                0.82338,                 1.2173,                0.86893,                0.57143,                0.69655,                0.40226,                0.68567,                0.35714,                0.29673,                0.14236,                  1.577,                 5.7715,                0.45073,                 1.4018,                 1.5244,             0.00036595,             0.00036595,             0.00036595
                     26,                 1.1707,                 3.4941,                0.36822,                 0.9211,                 1.1923,                0.86893,                0.57143,                0.69655,                0.40226,                0.68567,                0.35714,                0.29673,                0.14236,                  1.577,                 5.7715,                0.45073,                 1.4018,                 1.5244,             0.00037625,             0.00037625,             0.00037625
                     27,                0.97044,                 3.1954,                0.47638,                0.61496,                 1.0202,                      1,                0.55502,                 0.7084,                0.40608,                0.68609,                0.35714,                0.27706,                0.09751,                 1.6803,                 6.0158,                0.47203,                 1.4277,                 1.5735,             0.00038615,             0.00038615,             0.00038615
                     28,                0.95544,                 2.4766,                0.31083,                 0.6919,                 1.0643,                      1,                0.55502,                 0.7084,                0.40608,                0.68609,                0.35714,                0.27706,                0.09751,                 1.6803,                 6.0158,                0.47203,                 1.4277,                 1.5735,             0.00039566,             0.00039566,             0.00039566
                     29,                  1.026,                  3.474,                0.39942,                0.67255,                 1.1138,                      1,                 0.5605,                0.69958,                0.38684,                0.70034,                0.35714,                0.30857,                0.08491,                 1.7614,                 6.2466,                0.49904,                 1.3924,                  1.636,             0.00040477,             0.00040477,             0.00040477
                     30,                0.99377,                 2.5165,                0.25399,                0.72449,                 1.0396,                      1,                 0.5605,                0.69958,                0.38684,                0.70034,                0.35714,                0.30857,                0.08491,                 1.7614,                 6.2466,                0.49904,                 1.3924,                  1.636,             0.00041348,             0.00041348,             0.00041348
                     31,                 1.3912,                 3.2741,                0.32125,                 1.0029,                 1.2048,                      1,                0.55532,                0.67367,                0.33586,                0.78879,                0.35714,                0.32041,                0.07369,                 1.8009,                 6.4642,                0.51101,                 1.4552,                 1.6701,              0.0004218,              0.0004218,              0.0004218
                     32,                 1.0453,                  3.258,                0.35616,                 0.7779,                  1.107,                      1,                0.55532,                0.67367,                0.33586,                0.78879,                0.35714,                0.32041,                0.07369,                 1.8009,                 6.4642,                0.51101,                 1.4552,                 1.6701,             0.00042972,             0.00042972,             0.00042972
                     33,                0.79688,                 2.5911,                0.30474,                0.69641,                 1.0859,                0.76613,                    0.5,                0.56821,                0.32834,                 0.3611,                0.14286,                0.12711,                0.07334,                 1.8585,                 6.5935,                0.52511,                 1.5751,                 1.7479,             0.00043725,             0.00043725,             0.00043725
                     34,                0.95178,                 3.2219,                0.40882,                0.98323,                 1.1168,                0.76613,                    0.5,                0.56821,                0.32834,                 0.3611,                0.14286,                0.12711,                0.07334,                 1.8585,                 6.5935,                0.52511,                 1.5751,                 1.7479,             0.00044438,             0.00044438,             0.00044438
                     35,                 1.1835,                 2.8299,                0.18545,                 1.1356,                 1.3128,                0.85452,                0.35714,                0.51651,                 0.2916,                0.39835,                0.14286,                0.13306,                0.05479,                 1.8547,                 6.8769,                0.54111,                 1.7079,                  1.781,             0.00045111,             0.00045111,             0.00045111
                     36,                 1.0756,                 3.4515,                0.42299,                0.93842,                  1.261,                0.85452,                0.35714,                0.51651,                 0.2916,                0.39835,                0.14286,                0.13306,                0.05479,                 1.8547,                 6.8769,                0.54111,                 1.7079,                  1.781,             0.00045745,             0.00045745,             0.00045745
                     37,                0.92215,                 3.3464,                0.42481,                0.78629,                 1.1115,                0.58935,                0.35714,                0.44856,                0.26149,                0.53067,                0.14286,                0.12849,                 0.0493,                 1.8386,                 7.0495,                0.52207,                 1.7569,                 1.8205,             0.00046339,             0.00046339,             0.00046339
                     38,                0.98036,                 3.0188,                0.45132,                   1.16,                 1.0359,                0.58935,                0.35714,                0.44856,                0.26149,                0.53067,                0.14286,                0.12849,                 0.0493,                 1.8386,                 7.0495,                0.52207,                 1.7569,                 1.8205,             0.00046894,             0.00046894,             0.00046894
                     39,                0.82867,                 2.7493,                0.39624,                0.96115,                 1.1037,                0.38935,                0.45645,                0.36725,                 0.2202,                  0.353,                0.14286,                0.11677,                0.03908,                 1.8531,                 7.1473,                0.50845,                 1.8857,                 1.8655,             0.00047409,             0.00047409,             0.00047409
                     40,                 1.2046,                 2.6249,                0.34036,                  0.908,                 1.2504,                0.38935,                0.45645,                0.36725,                 0.2202,                  0.353,                0.14286,                0.11677,                0.03908,                 1.8531,                 7.1473,                0.50845,                 1.8857,                 1.8655,             0.00047884,             0.00047884,             0.00047884
                     41,                 1.0713,                 3.0799,                0.40705,                0.89967,                 1.1914,                0.59729,                0.57143,                0.58118,                 0.2655,                0.47184,                0.14286,                0.10366,                 0.0311,                 1.9077,                 7.2993,                0.50364,                 1.6829,                 1.9148,              0.0004832,              0.0004832,              0.0004832
                     42,                0.72566,                 1.8778,                0.32267,                0.68987,                  1.061,                0.59729,                0.57143,                0.58118,                 0.2655,                0.47184,                0.14286,                0.10366,                 0.0311,                 1.9077,                 7.2993,                0.50364,                 1.6829,                 1.9148,             0.00048716,             0.00048716,             0.00048716
                     43,                0.97731,                 3.9484,                0.36999,                0.88168,                 1.0884,                0.76927,                0.57143,                0.64304,                0.28332,                0.35569,                0.14286,                0.07378,                0.02633,                 1.8958,                 7.3468,                0.48777,                 1.6188,                 1.9404,             0.00049073,             0.00049073,             0.00049073
                     44,                 1.1274,                 3.5632,                0.42307,                0.84007,                 1.1506,                0.76927,                0.57143,                0.64304,                0.28332,                0.35569,                0.14286,                0.07378,                0.02633,                 1.8958,                 7.3468,                0.48777,                 1.6188,                 1.9404,              0.0004939,              0.0004939,              0.0004939
                     45,                0.84481,                 2.6859,                0.35627,                0.78682,                 1.0842,                0.74554,                0.62884,                0.70137,                0.31579,                0.46192,                0.14286,                0.12015,                0.06019,                 1.9342,                 7.3381,                0.48612,                 1.6956,                  1.897,             0.00049667,             0.00049667,             0.00049667
                     46,                0.77478,                 2.9781,                0.30733,                0.75475,                 1.0261,                0.74554,                0.62884,                0.70137,                0.31579,                0.46192,                0.14286,                0.12015,                0.06019,                 1.9342,                 7.3381,                0.48612,                 1.6956,                  1.897,             0.00049905,             0.00049905,             0.00049905
                     47,                 1.1188,                 3.8912,                0.30417,                0.89495,                 1.1888,                0.68834,                 0.6318,                0.66256,                0.31012,                0.57261,                0.21429,                0.14352,                0.04391,                 2.0312,                  7.419,                0.50001,                 1.9031,                  1.953,             0.00050103,             0.00050103,             0.00050103
                     48,                 1.1296,                 2.5403,                0.31486,                0.98542,                 1.2221,                0.68834,                 0.6318,                0.66256,                0.31012,                0.57261,                0.21429,                0.14352,                0.04391,                 2.0312,                  7.419,                0.50001,                 1.9031,                  1.953,             0.00050262,             0.00050262,             0.00050262
                     49,                0.80155,                 2.8038,                0.35119,                0.65311,                0.99492,                0.82063,                0.42857,                0.60596,                 0.2894,                0.77384,                0.21429,                0.22935,                0.08501,                 2.0601,                 7.4728,                0.50026,                 1.9008,                 1.9685,             0.00050381,             0.00050381,             0.00050381
                     50,                 0.8179,                 5.1968,                0.25175,                 0.8186,                  1.076,                0.82063,                0.42857,                0.60596,                 0.2894,                0.77384,                0.21429,                0.22935,                0.08501,                 2.0601,                 7.4728,                0.50026,                 1.9008,                 1.9685,              0.0005046,              0.0005046,              0.0005046
                     51,                0.97308,                 3.1442,                0.36711,                0.84369,                  1.027,                0.81165,                0.42857,                0.56586,                0.29276,                 0.7074,                0.21429,                0.21185,                0.08151,                 2.0009,                 7.6629,                0.51032,                 2.0866,                 1.9829,               0.000505,               0.000505,               0.000505
                     52,                0.91164,                 3.9581,                 0.4014,                 0.7259,                 1.0076,                0.81165,                0.42857,                0.56586,                0.29276,                 0.7074,                0.21429,                0.21185,                0.08151,                 2.0009,                 7.6629,                0.51032,                 2.0866,                 1.9829,               0.000505,               0.000505,               0.000505
                     53,                 1.0227,                 3.1725,                0.31317,                0.95565,                 1.2442,                0.81165,                0.42857,                0.56586,                0.29276,                 0.7074,                0.21429,                0.21185,                0.08151,                 2.0009,                 7.6629,                0.51032,                 2.0866,                 1.9829,             0.00050461,             0.00050461,             0.00050461
                     54,                0.87475,                 3.8975,                0.35169,                0.80286,                 1.0579,                0.71602,                0.42857,                0.55897,                0.32257,                0.71327,                0.21429,                0.21447,                0.06328,                 1.9467,                  7.749,                0.50295,                 2.1039,                 1.9317,             0.00050382,             0.00050382,             0.00050382
